old,new
c-76,c-0
c-77,c-1
c-78,c-2
c-79,c-3
c-80,c-4
c-81,c-5
c-82,c-6
c-83,c-7
c-84,c-8
c-85,c-9
c-86,c-10
c-87,c-11
c-88,c-12
c-89,c-13
c-90,c-14
c-91,c-15
c-92,c-16
c-93,c-17
c-94,c-18
c-95,c-19
c-96,c-20
c-97,c-21
c-98,c-22
c-99,c-23
c-100,c-24
c-126,c-25
c-127,c-26
c-128,c-27
c-129,c-28
c-130,c-29
c-131,c-30
c-132,c-31
c-133,c-32
c-134,c-33
c-135,c-34
c-136,c-35
c-137,c-36
c-138,c-37
c-139,c-38
c-140,c-39
c-141,c-40
c-142,c-41
c-143,c-42
c-144,c-43
c-145,c-44
c-146,c-45
c-147,c-46
c-148,c-47
c-149,c-48
c-150,c-49
c-151,c-50
c-152,c-51
c-153,c-52
c-154,c-53
c-155,c-54
c-156,c-55
c-157,c-56
c-158,c-57
c-159,c-58
c-160,c-59
c-161,c-60
c-162,c-61
c-163,c-62
c-164,c-63
c-165,c-64
c-166,c-65
c-167,c-66
c-168,c-67
c-169,c-68
c-170,c-69
c-171,c-70
c-172,c-71
c-173,c-72
c-174,c-73
c-175,c-74
c-351,c-75
c-352,c-76
c-353,c-77
c-354,c-78
c-355,c-79
c-356,c-80
c-357,c-81
c-358,c-82
c-359,c-83
c-360,c-84
c-361,c-85
c-362,c-86
c-363,c-87
c-364,c-88
c-365,c-89
c-366,c-90
c-367,c-91
c-368,c-92
c-369,c-93
c-370,c-94
c-371,c-95
c-372,c-96
c-373,c-97
c-374,c-98
c-375,c-99
