old,new
16,g-0
23,g-1
25,g-2
30,g-3
47,g-4
102,g-5
128,g-6
142,g-7
154,g-8
178,g-9
207,g-10
211,g-11
226,g-12
230,g-13
291,g-14
310,g-15
323,g-16
329,g-17
348,g-18
351,g-19
355,g-20
387,g-21
427,g-22
481,g-23
501,g-24
533,g-25
572,g-26
581,g-27
595,g-28
596,g-29
622,g-30
637,g-31
642,g-32
652,g-33
664,g-34
670,g-35
672,g-36
701,g-37
727,g-38
780,g-39
813,g-40
823,g-41
831,g-42
835,g-43
836,g-44
840,g-45
843,g-46
847,g-47
868,g-48
873,g-49
890,g-50
896,g-51
899,g-52
949,g-53
958,g-54
960,g-55
965,g-56
976,g-57
991,g-58
993,g-59
994,g-60
998,g-61
1001,g-62
1017,g-63
1021,g-64
1026,g-65
1027,g-66
1029,g-67
1050,g-68
1052,g-69
1062,g-70
1070,g-71
1111,g-72
1153,g-73
1212,g-74
1277,g-75
1385,g-76
1398,g-77
1429,g-78
1445,g-79
1452,g-80
1454,g-81
1465,g-82
1500,g-83
1509,g-84
1514,g-85
1534,g-86
1605,g-87
1616,g-88
1635,g-89
1643,g-90
1647,g-91
1662,g-92
1666,g-93
1677,g-94
1759,g-95
1786,g-96
1788,g-97
1802,g-98
1829,g-99
1831,g-100
1845,g-101
1846,g-102
1861,g-103
1870,g-104
1891,g-105
1906,g-106
1956,g-107
1978,g-108
1981,g-109
1983,g-110
1994,g-111
2037,g-112
2042,g-113
2048,g-114
2063,g-115
2064,g-116
2065,g-117
2109,g-118
2115,g-119
2131,g-120
2146,g-121
2184,g-122
2185,g-123
2195,g-124
2222,g-125
2263,g-126
2264,g-127
2274,g-128
2288,g-129
2309,g-130
2353,g-131
2523,g-132
2534,g-133
2542,g-134
2548,g-135
2553,g-136
2582,g-137
2624,g-138
2673,g-139
2745,g-140
2767,g-141
2770,g-142
2810,g-143
2817,g-144
2887,g-145
2896,g-146
2908,g-147
2920,g-148
2954,g-149
2958,g-150
3028,g-151
3033,g-152
3091,g-153
3098,g-154
3108,g-155
3156,g-156
3157,g-157
3162,g-158
3202,g-159
3206,g-160
3251,g-161
3280,g-162
3300,g-163
3303,g-164
3308,g-165
3312,g-166
3315,g-167
3337,g-168
3383,g-169
3398,g-170
3454,g-171
3480,g-172
3482,g-173
3551,g-174
3553,g-175
3597,g-176
3611,g-177
3638,g-178
3682,g-179
3693,g-180
3725,g-181
3775,g-182
3815,g-183
3895,g-184
3925,g-185
3930,g-186
3964,g-187
3988,g-188
4016,g-189
4043,g-190
4088,g-191
4125,g-192
4144,g-193
4154,g-194
4172,g-195
4200,g-196
4208,g-197
4216,g-198
4232,g-199
4282,g-200
4303,g-201
4312,g-202
4313,g-203
4331,g-204
4482,g-205
4605,g-206
4609,g-207
4616,g-208
4638,g-209
4651,g-210
4690,g-211
4775,g-212
4776,g-213
4780,g-214
4783,g-215
4791,g-216
4792,g-217
4794,g-218
4846,g-219
4851,g-220
4860,g-221
4864,g-222
4893,g-223
4925,g-224
4931,g-225
4998,g-226
5018,g-227
5019,g-228
5048,g-229
5050,g-230
5054,g-231
5058,g-232
5092,g-233
5096,g-234
5106,g-235
5108,g-236
5110,g-237
5111,g-238
5154,g-239
5211,g-240
5236,g-241
5255,g-242
5257,g-243
5261,g-244
5287,g-245
5290,g-246
5300,g-247
5321,g-248
5331,g-249
5347,g-250
5355,g-251
5357,g-252
5359,g-253
5366,g-254
5373,g-255
5423,g-256
5427,g-257
5438,g-258
5467,g-259
5468,g-260
5498,g-261
5525,g-262
5566,g-263
5580,g-264
5583,g-265
5588,g-266
5601,g-267
5613,g-268
5627,g-269
5641,g-270
5696,g-271
5699,g-272
5708,g-273
5710,g-274
5721,g-275
5747,g-276
5770,g-277
5777,g-278
5782,g-279
5792,g-280
5796,g-281
5827,g-282
5829,g-283
5831,g-284
5836,g-285
5867,g-286
5873,g-287
5880,g-288
5883,g-289
5889,g-290
5898,g-291
5899,g-292
5921,g-293
5925,g-294
5927,g-295
5971,g-296
5982,g-297
5985,g-298
5993,g-299
5997,g-300
6009,g-301
6050,g-302
6117,g-303
6119,g-304
6182,g-305
6184,g-306
6194,g-307
6195,g-308
6251,g-309
6253,g-310
6275,g-311
6284,g-312
6304,g-313
6342,g-314
6390,g-315
6443,g-316
6461,g-317
6464,g-318
6499,g-319
6500,g-320
6599,g-321
6603,g-322
6622,g-323
6659,g-324
6696,g-325
6697,g-326
6709,g-327
6714,g-328
6772,g-329
6774,g-330
6777,g-331
6790,g-332
6793,g-333
6804,g-334
6810,g-335
6812,g-336
6813,g-337
6839,g-338
6850,g-339
6856,g-340
6894,g-341
6909,g-342
6915,g-343
6919,g-344
6944,g-345
6988,g-346
6990,g-347
